subject,        depth,  age,    churn,  location
jsoncpp_jsoncpp_fuzzer,         0,      0,      1,      src/lib_json/json_reader.cpp:1278
jsoncpp_jsoncpp_fuzzer,         1,      1915,   1,      src/lib_json/json_reader.cpp:1875
libgit2_patch_parse_fuzzer,     0,      1602,   1,      src/buffer.c:431
libgit2_patch_parse_fuzzer,     1,      1538,   1,      src/patch_parse.c:816
libgit2_patch_parse_fuzzer,     2,      1315,   2,      src/patch_parse.c:855
libgit2_patch_parse_fuzzer,     3,      1315,   1,      src/patch_parse.c:1214
libgit2_objects_fuzzer,         0,      2774,   1,      src/util.c:133
libgit2_objects_fuzzer,         1,      26,     4,      src/util.c:184
libgit2_objects_fuzzer,         2,      14,     3,      src/tree.c:367
libgit2_objects_fuzzer,         3,      33,     2,      src/object.c:94
libhtp_fuzz_htp,        0,      0,      1,      htp/lzma/LzmaDec.c:610
libhtp_fuzz_htp,        1,      0,      1,      htp/lzma/LzmaDec.c:1066
libhtp_fuzz_htp,        2,      0,      4,      htp/htp_decompressors.c:292
libhtp_fuzz_htp,        3,      2397,   3,      htp/htp_transaction.c:831
libhtp_fuzz_htp,        4,      2249,   4,      htp/htp_response.c:505
libhtp_fuzz_htp,        5,      2249,   3,      htp/htp_response.c:1240
libhtp_fuzz_htp,        6,      304,    2,      test/fuzz/fuzz_htp.c:210
libsass_data_context_fuzzer,    0,      111,    1,      src/permutate.hpp:101
libsass_data_context_fuzzer,    1,      111,    4,      src/ast_selectors.cpp:979
libsass_data_context_fuzzer,    2,      111,    3,      src/ast_selectors.cpp:1009
libsass_data_context_fuzzer,    3,      111,    4,      src/ast_selectors.cpp:863
libsass_data_context_fuzzer,    4,      111,    2,      src/ast_selectors.cpp:967
libsass_data_context_fuzzer,    5,      111,    1,      src/eval_selectors.cpp:50
libsass_data_context_fuzzer,    6,      111,    1,      src/eval_selectors.cpp:16
libsass_data_context_fuzzer,    7,      111,    1,      src/expand.cpp:184
libsass_data_context_fuzzer,    8,      1074,   3,      src/expand.cpp:838
libsass_data_context_fuzzer,    9,      1578,   4,      src/expand.cpp:140
libsass_data_context_fuzzer,    10,     991,    8,      src/expand.cpp:196
libsass_data_context_fuzzer,    11,     1074,   3,      src/expand.cpp:838
libsass_data_context_fuzzer,    12,     1578,   4,      src/expand.cpp:140
libsass_data_context_fuzzer,    13,     991,    8,      src/context.cpp:650
libsass_data_context_fuzzer,    14,     1438,   1,      src/context.cpp:621
libsass_data_context_fuzzer,    15,     1074,   1,      src/sass_context.cpp:180
libsass_data_context_fuzzer,    16,     1644,   1,      src/sass_context.cpp:317
libsass_data_context_fuzzer,    17,     1438,   4,      src/sass_context.cpp:407
openssl_x509,   0,      97,     1,      crypto/o_str.c:21
openssl_x509,   1,      1411,   9,      crypto/x509/v3_utl.c:46
openssl_x509,   2,      67,     10,     crypto/x509/v3_alt.c:80
openssl_x509,   3,      1740,   8,      crypto/x509/v3_alt.c:57
openssl_x509,   4,      1635,   9,      crypto/x509/v3_prn.c:117
openssl_x509,   5,      1740,   5,      crypto/x509/v3_prn.c:164
openssl_x509,   6,      1740,   29,     crypto/x509/t_x509.c:201
openssl_x509,   7,      1226,   1,      fuzz/x509.c:37
openssl_x509,   8,      1389,   19,     crypto/mem.c:222
openssl_x509,   9,      1643,   7,      crypto/asn1/asn1_lib.c:284
openssl_x509,   10,     1627,   15,     crypto/asn1/a_int.c:300
openssl_x509,   11,     1740,   12,     crypto/asn1/tasn_dec.c:838
openssl_x509,   12,     1485,   9,      crypto/asn1/tasn_dec.c:626
openssl_x509,   13,     585,    8,      crypto/asn1/tasn_dec.c:477
openssl_x509,   14,     585,    15,     crypto/asn1/tasn_dec.c:365
openssl_x509,   15,     1485,   9,      crypto/asn1/tasn_dec.c:616
openssl_client,         0,      602,    2,      include/internal/refcount.h:51
openssl_client,         1,      40,     1,      crypto/evp/p_lib.c:1168
openssl_client,         2,      1363,   1,      ssl/statem/statem_clnt.c:2180
openssl_client,         3,      1334,   2,      ssl/statem/statem_clnt.c:1049
openssl_client,         4,      1665,   2,      ssl/statem/statem.c:637
openssl_client,         5,      1639,   5,      ssl/ssl_lib.c:3812
openssl_client,         6,      1210,   1,      fuzz/client.c:84
openssl_client,         7,      1545,   12,     crypto/mem.c:252
openssl_client,         8,      1896,   6,      crypto/dh/dh_lib.c:153
openssl_client,         9,      1363,   1,      ssl/statem/statem_clnt.c:2179
openssl_client,         10,     1334,   2,      ssl/statem/statem_clnt.c:1049
openssl_client,         11,     1665,   2,      ssl/statem/statem.c:637
openssl_client,         12,     1639,   5,      ssl/ssl_lib.c:3812
openssl_client,         13,     1210,   1,      fuzz/client.c:84
openssl_client,         14,     51,     7,      crypto/mem.c:184
openssl_client,         15,     1672,   8,      crypto/dh/dh_lib.c:71
serenity_fuzzbmploader, 0, 225, 7, AK/Vector.h:198
serenity_fuzzshell,     0,      494,    1,      AK/NonnullOwnPtr.h:176
serenity_fuzzshell,     1,      165,    5,      Shell/Parser.cpp:1004
serenity_fuzzshell,     2,      141,    5,      Shell/Parser.cpp:947
zstd_stream_decompress,         0,      1278,   1,  lib/common/mem.h:171
zstd_stream_decompress,         1,      1104,   1,  lib/legacy/zstd_v05.c:3625
zstd_stream_decompress,         2,      1104,   1,      lib/legacy/zstd_v05.c:3965
zstd_stream_decompress,         3,      963,    1,      lib/legacy/zstd_legacy.h:373
zstd_stream_decompress,         4,      393,    6,      lib/decompress/zstd_decompress.c:1547
zstd_stream_decompress,         5,      658,    1,      tests/fuzz/stream_decompress.c:73
grok_grk_decompress_fuzzer,     0,      273,    1,      src/lib/jp2/t1/t1_ht/coding/ojph_block_decoder.cpp:620
grok_grk_decompress_fuzzer,     1,      5,      9,      src/lib/jp2/t1/t1_ht/T1HT.cpp:157
grok_grk_decompress_fuzzer,     2,      5,      2,      src/lib/jp2/t1/T1Structs.cpp:444
grok_grk_decompress_fuzzer,     3,      5,      2,      src/lib/jp2/t1/T1DecompressScheduler.cpp:98
grok_grk_decompress_fuzzer,     4,      42,     25,     src/lib/jp2/t1/T1DecompressScheduler.cpp:151
grok_grk_decompress_fuzzer,     5,      5,      10,     src/lib/jp2/t1/t1_ht/T1HT.cpp:138
oniguruma_fuzzer,       0,      277,    4,      src/unicode.c:434
oniguruma_fuzzer,       1,      339,    1,      src/regcomp.c:5111
oniguruma_fuzzer,       2,      321,    2,      src/regcomp.c:7328
oniguruma_fuzzer,       3,      2898,   1,      src/regcomp.c:7552
oniguruma_fuzzer,       4,      442,    1,      harnesses/base.c:222
oniguruma_fuzzer,       5,      164,    14,     harnesses/base.c:482
oniguruma_fuzzer,       6,      2898,   1,      src/regcomp.c:5804
file_magic_fuzzer,      0,      0,      1,      src/encoding.c:486
file_magic_fuzzer,      1,      474,    2,      src/funcs.c:227
file_magic_fuzzer,      2,      4408,   4,      src/magic.c:535
yara_dotnet_fuzzer,     0,      50,     2,      libyara/modules/dotnet/dotnet.c:470
yara_dotnet_fuzzer,     1,      1352,   2,      libyara/modules/dotnet/dotnet.c:1605
yara_dotnet_fuzzer,     2,      1576,   1,      libyara/modules/dotnet/dotnet.c:1688
