crash_time, benchmark, fuzzer, trial, bug_type, stack_hash, bug_addr, bug_code_line1, bug_code_line2, bug_code_line3
1160, aspell_aspell_fuzzer, aflchurn, trial-753481, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1733, aspell_aspell_fuzzer, aflchurn, trial-753482, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
4846, aspell_aspell_fuzzer, aflchurn, trial-753483, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1857, aspell_aspell_fuzzer, aflchurn, trial-753484, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
9866, aspell_aspell_fuzzer, aflchurn, trial-753485, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1389, aspell_aspell_fuzzer, aflchurn, trial-753486, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
7182, aspell_aspell_fuzzer, aflchurn, trial-753487, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
12675, aspell_aspell_fuzzer, aflchurn, trial-753488, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
8892, aspell_aspell_fuzzer, aflchurn, trial-753489, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1001, aspell_aspell_fuzzer, aflchurn, trial-753490, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3383, aspell_aspell_fuzzer, aflchurn, trial-753491, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1395, aspell_aspell_fuzzer, aflchurn, trial-753492, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1947, aspell_aspell_fuzzer, aflchurn, trial-753493, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1523, aspell_aspell_fuzzer, aflchurn, trial-753494, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1827, aspell_aspell_fuzzer, aflchurn, trial-753495, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
3824, aspell_aspell_fuzzer, aflchurn, trial-753496, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
9121, aspell_aspell_fuzzer, aflchurn, trial-753497, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1390, aspell_aspell_fuzzer, aflchurn, trial-753498, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
20749, aspell_aspell_fuzzer, aflchurn, trial-753499, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
9891, aspell_aspell_fuzzer, aflchurn, trial-753500, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1198, aspell_aspell_fuzzer, aflchurn, trial-758024, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
7803, aspell_aspell_fuzzer, aflchurn_noaco, trial-753861, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
6493, aspell_aspell_fuzzer, aflchurn_noaco, trial-753862, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1152, aspell_aspell_fuzzer, aflchurn_noaco, trial-753863, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1547, aspell_aspell_fuzzer, aflchurn_noaco, trial-753864, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
6567, aspell_aspell_fuzzer, aflchurn_noaco, trial-753865, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
13759, aspell_aspell_fuzzer, aflchurn_noaco, trial-753866, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1216, aspell_aspell_fuzzer, aflchurn_noaco, trial-753867, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
14585, aspell_aspell_fuzzer, aflchurn_noaco, trial-753868, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
2452, aspell_aspell_fuzzer, aflchurn_noaco, trial-753869, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1284, aspell_aspell_fuzzer, aflchurn_noaco, trial-753870, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
923, aspell_aspell_fuzzer, aflchurn_noaco, trial-753871, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1578, aspell_aspell_fuzzer, aflchurn_noaco, trial-753872, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1172, aspell_aspell_fuzzer, aflchurn_noaco, trial-753873, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1188, aspell_aspell_fuzzer, aflchurn_noaco, trial-753874, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1232, aspell_aspell_fuzzer, aflchurn_noaco, trial-753875, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1109, aspell_aspell_fuzzer, aflchurn_noaco, trial-753876, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
2762, aspell_aspell_fuzzer, aflchurn_noaco, trial-753877, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
9018, aspell_aspell_fuzzer, aflchurn_noaco, trial-753878, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1997, aspell_aspell_fuzzer, aflchurn_noaco, trial-753879, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1475, aspell_aspell_fuzzer, aflchurn_noaco, trial-753880, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
9428, aspell_aspell_fuzzer, aflchurn_noage, trial-754241, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1414, aspell_aspell_fuzzer, aflchurn_noage, trial-754242, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
7495, aspell_aspell_fuzzer, aflchurn_noage, trial-754243, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1764, aspell_aspell_fuzzer, aflchurn_noage, trial-754244, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1634, aspell_aspell_fuzzer, aflchurn_noage, trial-754245, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1876, aspell_aspell_fuzzer, aflchurn_noage, trial-754246, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
1689, aspell_aspell_fuzzer, aflchurn_noage, trial-754247, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
6893, aspell_aspell_fuzzer, aflchurn_noage, trial-754248, heap-buffer-overflow, a7033cb9, 0x51b03a, acommon::DecodeUtf8::decode() const convert.cpp:847, acommon::Convert::convert() const convert.hpp:160, acommon::ConvP::operator()() convert.hpp:302
