subject, fuzzer, trial, total, tte, crashes
aspell_aspell_fuzzer, afl, trial-753121, 82742, 3185,  14
aspell_aspell_fuzzer, afl, trial-753122, 82758, 12306,  2
aspell_aspell_fuzzer, afl, trial-753125, 82780, 10874,  1
aspell_aspell_fuzzer, afl, trial-753129, 82774, 248,  6
aspell_aspell_fuzzer, afl, trial-753126, 82789, 10653,  8
aspell_aspell_fuzzer, afl, trial-753138, 31470, 184,  4
aspell_aspell_fuzzer, afl, trial-753123, 82788, 1750,  5
aspell_aspell_fuzzer, afl, trial-753130, 82752, 14869,  10
aspell_aspell_fuzzer, afl, trial-753137, 82787, 3042,  13
aspell_aspell_fuzzer, afl, trial-753124, 82689, 4154,  10
aspell_aspell_fuzzer, afl, trial-753132, 80882, 6677,  4
aspell_aspell_fuzzer, afl, trial-753136, 82792, 1516,  11
aspell_aspell_fuzzer, afl, trial-753128, 82626, 5109,  4
aspell_aspell_fuzzer, afl, trial-753140, 82792, 5268,  8
aspell_aspell_fuzzer, afl, trial-753127, 82777, 10884,  1
aspell_aspell_fuzzer, afl, trial-753133, 82778, 4640,  8
aspell_aspell_fuzzer, afl, trial-763207, 80050, 1752,  17
aspell_aspell_fuzzer, afl, trial-753135, 82718, 7002,  8
aspell_aspell_fuzzer, afl, trial-757661, 82745, 46,  9
aspell_aspell_fuzzer, afl, trial-753134, 82729, 14465,  10
aspell_aspell_fuzzer, afl, trial-762935, 82781, 13941,  7
aspell_aspell_fuzzer, afl, trial-753139, 82781, 16870,  13
aspell_aspell_fuzzer, aflchurn, trial-753485, 82790, 9866,  6
aspell_aspell_fuzzer, aflchurn, trial-753484, 82681, 1857,  4
aspell_aspell_fuzzer, aflchurn, trial-753481, 82740, 1160,  9
aspell_aspell_fuzzer, aflchurn, trial-753483, 82775, 4846,  7
aspell_aspell_fuzzer, aflchurn, trial-753482, 82769, 1733,  9
aspell_aspell_fuzzer, aflchurn, trial-753493, 82789, 1947,  1
aspell_aspell_fuzzer, aflchurn, trial-753491, 82785, 3383,  7
aspell_aspell_fuzzer, aflchurn, trial-753486, 82698, 1389,  5
aspell_aspell_fuzzer, aflchurn, trial-753496, 8094, 3824,  1
aspell_aspell_fuzzer, aflchurn, trial-753492, 82787, 1395,  8
aspell_aspell_fuzzer, aflchurn, trial-753494, 82722, 1523,  3
aspell_aspell_fuzzer, aflchurn, trial-758024, 82736, 1198,  7
aspell_aspell_fuzzer, aflchurn, trial-753489, 82768, 8892,  7
aspell_aspell_fuzzer, aflchurn, trial-753490, 82793, 1001,  1
aspell_aspell_fuzzer, aflchurn, trial-753495, 82644, 1827,  10
aspell_aspell_fuzzer, aflchurn, trial-753487, 82786, 7182,  14
aspell_aspell_fuzzer, aflchurn, trial-753497, 82742, 9121,  5
aspell_aspell_fuzzer, aflchurn, trial-753498, 82790, 1390,  5
aspell_aspell_fuzzer, aflchurn, trial-753500, 82624, 9891,  6
aspell_aspell_fuzzer, aflchurn, trial-753499, 82573, 20749,  11
aspell_aspell_fuzzer, aflchurn, trial-753488, 82725, 12675,  5
aspell_aspell_fuzzer, aflchurn_noaco, trial-753865, 82767, 6567,  5
aspell_aspell_fuzzer, aflchurn_noaco, trial-753861, 82794, 7803,  15
aspell_aspell_fuzzer, aflchurn_noaco, trial-753863, 82773, 1152,  5
aspell_aspell_fuzzer, aflchurn_noaco, trial-753864, 82775, 1547,  14
aspell_aspell_fuzzer, aflchurn_noaco, trial-753862, 82472, 6493,  7
aspell_aspell_fuzzer, aflchurn_noaco, trial-753866, 81625, 13759,  9
aspell_aspell_fuzzer, aflchurn_noaco, trial-753869, 82722, 2452,  8
aspell_aspell_fuzzer, aflchurn_noaco, trial-753873, 82718, 1172,  3
aspell_aspell_fuzzer, aflchurn_noaco, trial-753867, 81994, 1216,  4
aspell_aspell_fuzzer, aflchurn_noaco, trial-753870, 82365, 1284,  31
aspell_aspell_fuzzer, aflchurn_noaco, trial-753871, 82792, 923,  2
aspell_aspell_fuzzer, aflchurn_noaco, trial-753876, 82779, 1109,  22
aspell_aspell_fuzzer, aflchurn_noaco, trial-753872, 82669, 1578,  11
aspell_aspell_fuzzer, aflchurn_noaco, trial-753868, 82789, 14585,  5
aspell_aspell_fuzzer, aflchurn_noaco, trial-753875, 82767, 1232,  10
aspell_aspell_fuzzer, aflchurn_noaco, trial-753877, 82635, 2762,  6
aspell_aspell_fuzzer, aflchurn_noaco, trial-753874, 82789, 1188,  10
aspell_aspell_fuzzer, aflchurn_noaco, trial-753880, 82671, 1475,  14
aspell_aspell_fuzzer, aflchurn_noaco, trial-753878, 82557, 9018,  8
