issue, project, bug_id, is_regression, regressed, reported, fixed, discovery_days, fixed_days
5, libarchive, 1, 0, , 20160527, , , 
6, libarchive, 2, 0, , 20160527, , , 
9, freetype2, 1, 0, , 20160601, , , 
10, freetype2, 2, 1, 20160524, 20160603, , 10, 
14, libarchive, 3, 0, , 20160624, , , 
15, libarchive, 4, 0, , 20160624, , , 
16, libarchive, 5, 0, , 20160627, , , 
17, freetype2, 3, 0, , 20160628, , , 
36, freetype2, 4, 1, 20160525, 20160825, , 92, 
38, libxml2, 1, 0, , 20160830, , , 
39, openssl, 1, 0, , 20160830, , , 
40, freetype2, 5, 1, 20160909, 20160909, , 0, 
41, freetype2, 6, 1, 20160909, 20160910, , 1, 
42, libxml2, 2, 1, 20160831, 20160911, , 11, 
47, sqlite3, 1, 0, , 20161004, , , 
48, sqlite3, 2, 0, , 20161006, , , 
52, freetype2, 7, 1, 20160528, 20161010, , 135, 
53, freetype2, 8, 1, 20160525, 20161013, , 141, 
54, libass, 1, 0, , 20161014, , , 
55, pcre2, 1, 1, 20161013, 20161014, , 1, 
57, pcre2, 2, 1, 20161013, 20161014, , 1, 
58, pcre2, 3, 1, 20161013, 20161014, , 1, 
59, pcre2, 4, 1, 20161013, 20161015, , 2, 
62, libchewing, 1, 1, 20161018, 20161018, , 0, 
63, libchewing, 2, 1, 20161018, 20161018, , 0, 
64, libchewing, 3, 1, 20161018, 20161019, , 1, 
65, libchewing, 4, 1, 20161018, 20161019, , 1, 
67, libchewing, 5, 1, 20161018, 20161019, , 1, 
68, libchewing, 6, 1, 20161018, 20161019, , 1, 
69, libchewing, 7, 1, 20161018, 20161019, , 1, 
70, libchewing, 8, 1, 20161018, 20161019, , 1, 
71, libchewing, 9, 1, 20161018, 20161019, , 1, 
72, libchewing, 10, 1, 20161018, 20161019, , 1, 
73, sqlite3, 3, 0, , 20161019, , , 
74, sqlite3, 4, 1, 20161013, 20161019, , 6, 
75, sqlite3, 5, 0, , 20161019, , , 
76, openssl, 2, 1, 20160525, 20161019, , 147, 
77, libxml2, 3, 1, 20160831, 20161019, , 49, 
79, openssl, 3, 0, , 20161019, , , 
80, openssl, 4, 1, 20160525, 20161019, , 147, 
81, freetype2, 9, 1, 20160525, 20161019, , 147, 
82, sqlite3, 6, 1, 20161013, 20161019, , 6, 
84, libchewing, 11, 1, 20161020, 20161021, , 1, 
85, libchewing, 12, 1, 20161020, 20161021, , 1, 
86, libchewing, 13, 1, 20161020, 20161021, , 1, 
87, libchewing, 14, 1, 20161020, 20161021, , 1, 
88, libchewing, 15, 1, 20161020, 20161021, , 1, 
89, libchewing, 16, 1, 20161020, 20161022, , 2, 
90, pcre2, 5, 1, 20161013, 20161022, , 9, 
91, libchewing, 17, 1, 20161020, 20161023, , 3, 
92, libchewing, 18, 1, 20161020, 20161023, , 3, 
93, libchewing, 19, 1, 20161020, 20161023, , 3, 
94, libchewing, 20, 1, 20161020, 20161023, , 3, 
96, libxml2, 4, 1, 20160831, 20161024, 20170605, 54, 224
97, libchewing, 21, 1, 20161020, 20161025, , 5, 
98, pcre2, 6, 1, 20161013, 20161025, , 12, 
99, nss, 1, 0, , 20161025, , , 
101, nss, 2, 0, , 20161025, , , 
102, json, 1, 0, , 20161025, , , 
107, tpm2, 1, 0, , 20161025, , , 
109, libchewing, 22, 1, 20161020, 20161025, , 5, 
110, libchewing, 23, 1, 20161020, 20161025, , 5, 
111, json, 2, 0, , 20161025, , , 
112, libchewing, 24, 1, 20161020, 20161025, , 5, 
113, libchewing, 25, 1, 20161020, 20161025, , 5, 
114, libchewing, 26, 1, 20161020, 20161026, , 6, 
115, pcre2, 7, 1, 20161013, 20161026, , 13, 
116, pcre2, 8, 1, 20161013, 20161026, , 13, 
117, libchewing, 27, 1, 20161020, 20161026, , 6, 
118, libchewing, 28, 1, 20161020, 20161026, , 6, 
119, libchewing, 29, 1, 20161020, 20161027, , 7, 
120, pcre2, 9, 1, 20161013, 20161028, , 15, 
121, libchewing, 30, 1, 20161020, 20161028, , 8, 
122, libchewing, 31, 1, 20161020, 20161030, , 10, 
123, libchewing, 32, 1, 20161020, 20161031, , 11, 
124, libchewing, 33, 1, 20161020, 20161031, , 11, 
125, pcre2, 10, 1, 20161031, 20161031, , 0, 
126, pcre2, 11, 1, 20161031, 20161101, , 1, 
127, pcre2, 12, 1, 20161031, 20161101, , 1, 
128, libchewing, 34, 1, 20161020, 20161101, , 12, 
132, pcre2, 13, 1, 20161031, 20161101, , 1, 
134, libchewing, 35, 1, 20161020, 20161102, , 13, 
135, pcre2, 14, 1, 20161031, 20161103, , 3, 
137, pcre2, 15, 1, 20161031, 20161104, , 4, 
138, pcre2, 16, 1, 20161031, 20161104, , 4, 
139, libarchive, 6, 1, 20160525, 20161106, , 165, 
140, openssl, 5, 1, 20161101, 20161106, , 5, 
141, libchewing, 36, 1, 20161020, 20161106, , 17, 
142, lcms, 1, 0, , 20161107, , , 
143, file, 1, 1, 20161107, 20161108, , 1, 
144, file, 2, 1, 20161107, 20161108, , 1, 
145, libarchive, 7, 1, 20160525, 20161108, , 167, 
146, libchewing, 37, 1, 20161020, 20161108, , 19, 
147, libchewing, 38, 1, 20161020, 20161108, , 19, 
148, libjpeg-turbo, 1, 0, , 20161109, , , 
149, ffmpeg, 1, 0, , 20161109, , , 
150, ffmpeg, 2, 0, , 20161109, , , 
151, ffmpeg, 3, 0, , 20161109, , , 
152, libarchive, 8, 1, 20160528, 20161109, , 165, 
153, file, 3, 1, 20161107, 20161109, , 2, 
154, ffmpeg, 4, 0, , 20161110, , , 
155, ffmpeg, 5, 0, , 20161110, , , 
156, ffmpeg, 6, 0, , 20161110, , , 
157, lcms, 2, 0, , 20161110, , , 
158, ffmpeg, 7, 0, , 20161111, 20170504, , 174
159, libxml2, 5, 1, 20160831, 20161111, , 72, 
160, nss, 3, 0, , 20161111, , , 
161, nss, 4, 0, , 20161111, , , 
162, nss, 5, 0, , 20161111, , , 
163, nss, 6, 0, , 20161111, , , 
164, nss, 7, 0, , 20161111, , , 
165, libchewing, 39, 1, 20161020, 20161111, , 22, 
166, lcms, 3, 0, , 20161112, , , 
167, sqlite3, 7, 0, , 20161113, , , 
168, sqlite3, 8, 1, 20161112, 20161114, , 2, 
169, libpng, 1, 1, 20161020, 20161114, , 25, 
170, libxml2, 6, 1, 20160831, 20161114, , 75, 
171, sqlite3, 9, 1, 20161112, 20161114, , 2, 
172, ots, 1, 0, , 20161114, , , 
173, ffmpeg, 8, 0, , 20161114, , , 
174, libtsm, 1, 1, 20161114, 20161114, , 0, 
175, re2, 1, 0, , 20161114, , , 
176, sqlite3, 10, 0, , 20161114, , , 
177, ffmpeg, 9, 0, , 20161114, , , 
178, ffmpeg, 10, 0, , 20161114, , , 
179, ffmpeg, 11, 0, , 20161115, , , 
180, ffmpeg, 12, 0, , 20161115, , , 
181, libchewing, 40, 1, 20161020, 20161115, , 26, 
182, libtsm, 2, 1, 20161026, 20161115, 20170307, 20, 112
183, ffmpeg, 13, 0, , 20161115, , , 
185, ffmpeg, 14, 0, , 20161115, , , 
186, pcre2, 17, 1, 20161031, 20161115, , 15, 
187, ffmpeg, 15, 1, 20161115, 20161115, , 0, 
188, libchewing, 41, 1, 20161020, 20161115, , 26, 
189, ffmpeg, 16, 0, , 20161116, , , 
190, libarchive, 9, 1, 20160525, 20161116, , 175, 
191, libarchive, 10, 1, 20160525, 20161117, , 176, 
192, lcms, 4, 0, , 20161117, , , 
193, libass, 2, 0, , 20161118, , , 
194, libass, 3, 0, , 20161118, , , 
195, libchewing, 42, 1, 20161020, 20161119, , 30, 
196, libchewing, 43, 1, 20161020, 20161119, , 30, 
197, libchewing, 44, 1, 20161020, 20161119, , 30, 
198, libchewing, 45, 1, 20161020, 20161119, , 30, 
199, sqlite3, 11, 1, 20161111, 20161120, , 9, 
200, libchewing, 46, 1, 20161020, 20161120, , 31, 
201, libchewing, 47, 1, 20161020, 20161120, 20170515, 31, 176
202, libchewing, 48, 1, 20161020, 20161121, , 32, 
203, libchewing, 49, 1, 20161020, 20161121, 20170515, 32, 175
205, libchewing, 50, 1, 20161020, 20161122, 20170515, 33, 174
206, pcre2, 18, 1, 20161104, 20161122, , 18, 
207, libchewing, 51, 1, 20161122, 20161123, , 1, 
208, pcre2, 19, 1, 20161104, 20161124, , 20, 
209, libchewing, 52, 1, 20161020, 20161126, , 37, 
210, libchewing, 53, 1, 20161122, 20161127, , 5, 
212, sqlite3, 12, 0, , 20161129, , , 
213, icu, 1, 1, 20161026, 20161129, , 34, 
214, sqlite3, 13, 0, , 20161129, , , 
215, sqlite3, 14, 0, , 20161129, , , 
216, sqlite3, 15, 0, , 20161129, , , 
217, libtsm, 3, 0, , 20161130, 20170307, , 97
218, sqlite3, 16, 0, , 20161130, , , 
219, libpng, 2, 1, 20161130, 20161201, 20170804, 1, 246
220, libarchive, 11, 1, 20161130, 20161201, , 1, 
